Fri,Mon,Sat,Thu,Tue,Wed,building,call,name,number,room
,11:40am-12:55pm,,,,11:40am-12:55pm,Hamilton Hall,81996,ACTUARIAL MODELS Section 001,Actuarial Science PS5823,516
,,,,,8:10pm-10:00pm,,83596,ACTUARIAL MODELS Section D02,Actuarial Science PS5823,
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,87246,MODELS FOR FINANCE & ECONOMICS Section 001,Actuarial Science PS5830,312
,,,,6:10pm-8:00pm,,,77597,MODELS FOR FINANCE & ECONOMICS Section D02,Actuarial Science PS5830,
,,,6:10pm-8:55pm,,,School of Social Work,85942,RISK MANAGEMENT IN P&C INSURANCE Section 001,Actuarial Science PS5848,903
,,,,4:10pm-6:00pm,,MACY HALL,25944,PROSEMINAR IN ACTUARIAL SCI Section 001,Actuarial Science PS5900,263
,,,,,,,60942,INTERNSHIP IN ACTUARIAL SCI Section 001,Actuarial Science PS5995,
,10:10am-12:00pm,,,,10:10am-12:00pm,Hamilton Hall,64748,AFRICAN CIVILIZATION Section 001,African Civilization C1020,616
,4:10pm-6:00pm,,,,4:10pm-6:00pm,Hamilton Hall,27698,AFRICAN CIVILIZATION Section 002,African Civilization C1020,402
,11:40am-12:55pm,,,,11:40am-12:55pm,Seeley W. Mudd Building,80038,AFRICAN-AMERICAN MUSIC Section 001,African-American Studies UN3030,327
,,,,12:00pm-2:00pm,,Northwest Corner Building,81281,ETHNOGRAPHIES OF BLACK LI Section 001,African-American Studies 83728,602
,,,,,,,12397,INDEPENDENT STUDY-NON AFAM Section 001,African-American Studies UN3900,
,,,,,,,17598,INDEPENDENT STDY-UNDERGRADUATE Section 001,African-American Studies UN3901,
,,,,,,,18096,INDEPENDENT STDY-UNDERGRADUATE Section 002,African-American Studies UN3901,
,,,,,,,18696,INDEPENDENT STDY-UNDERGRADUATE Section 003,African-American Studies UN3901,
,,,,,,,21046,INDEPENDENT STDY-UNDERGRADUATE Section 004,African-American Studies UN3901,
,,,,4:10pm-6:00pm,,EXT Schermerhorn Hall [SCH],87782,TOPICS IN THE BLACK EXPERIENCE Section 001,African-American Studies UN3930,758
,12:10pm-2:00pm,,,,,EXT Schermerhorn Hall [SCH],86402,TOPICS IN THE BLACK EXPERIENCE Section 002,African-American Studies UN3930,758
,,,,10:10am-12:00pm,,EXT Schermerhorn Hall [SCH],81532,TOPICS IN THE BLACK EXPERIENCE Section 003,African-American Studies UN3930,758
,,,,12:10pm-2:00pm,,EXT Schermerhorn Hall [SCH],11899,SEMINAR: BLACK INTELLECTUALS Section 001,African-American Studies UN3936,758
,,,,2:10pm-4:00pm,,Seeley W. Mudd Building,73452,CRIM JUSTICE/CARCERL ST-20C US Section 001,African-American Studies GU4035,327
,,,10:10am-12:00pm,,,EXT Schermerhorn Hall [SCH],23039,TOPICS IN THE BLACK EXPERIENCE Section 001,African-American Studies GU4080,758
,,,,,12:10pm-2:00pm,EXT Schermerhorn Hall [SCH],27825,TOPICS IN THE BLACK EXPERIENCE Section 002,African-American Studies GU4080,758
,,,,,2:10pm-4:00pm,EXT Schermerhorn Hall [SCH],26019,TOPICS IN THE BLACK EXPERIENCE Section 003,African-American Studies GU4080,758
,,,10:10am-11:25am,10:10am-11:25am,,KRAFT CENTER,11427,AFRICAN AMERICAN LIT II Section 001,African-American Studies 84622,6AB
,,,,4:00pm-6:00pm,,S Buell Hall,27549,CONTESTED GROUNDS Section 001,African-American Studies 84642,300
,,,,,,,82148,INDEPENDENT STUDY-GRADUATE Section 001,African-American Studies G4998,
,,,,,,,83649,INDEPENDENT STUDY-GRADUATE Section 002,African-American Studies G4998,
,,,,,,,85955,INDEPENDENT STUDY-GRADUATE Section 003,African-American Studies G4998,
,,,,,,,86250,INDEPENDENT STUDY-GRADUATE Section 004,African-American Studies G4998,
,,,,,,,86496,INDEPENDENT STUDY-GRADUATE Section 005,African-American Studies G4998,
,,,,,,,86749,INDEPENDENT STUDY-GRADUATE Section 006,African-American Studies G4998,
,,,10:10am-12:00pm,,,Knox Hall,68499,RACIAL & ETHNIC INEQUAL Section 001,African-American Studies 86121,509
,,,,10:10am-12:00pm,,EXT Schermerhorn Hall [SCH],82347,RIGHTING WRONGS Section 001,African-American Studies 86155,963
,,,2:10pm-4:00pm,,,EXT Schermerhorn Hall [SCH],82547,ISLE OF INTELLECTUALS Section 001,African-American Studies 86643,467
,,,,,,,71801,THESIS RESEARCH-GRADUATE Section 001,African-American Studies GR6999,
,,,4:10pm-6:00pm,,,International Affairs Building,16166,BLACK BIOPOWER Section 001,African-American Studies 88550,802
,,,,,2:00pm-4:00pm,S Buell Hall,68346,ETHNOGRAPHIES OF BLACK LIFE Section 001,African-American Studies 88905,300
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Diana Center,7625,INTRODUCTION AFRICAN DIASPORA Section 001,Africana Studies BC2006,504
,,,,10:10am-12:00pm,,Barnard Hall,5430,THE AFRICANA COLLOQUIUM Section 001,Africana Studies BC3110,403
,,,,,10:10am-12:00pm,Barnard Hall,3972,ROMARE BEARDEN:HOME IS HARLEM Section 001,Africana Studies BC3532,117
,,,2:10pm-4:00pm,,,Diana Center,2993,VIBRATIONS:HARLEM JAZZ Section 001,Africana Studies BC3551,502
,,,,,10:10am-12:00pm,Milbank Hall (Barnard),9588,BLACK WOMEN STYLE&PERFRMNCE Section 001,Africana Studies BC3552,227
,,,,2:10pm-4:00pm,,Diana Center,8835,BLK SEXUAL PLTCS U.S.POP CLTR Section 001,Africana Studies BC3589,502
,11:00am-1:45pm,,,,,be announced,76971,ELEMENTARY AKKADIAN II Section 001,Akkadian UN1102,To
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Barnard Hall,3944,WHAT IS AMERICAN STUDIES? Section 001,American Studies BC1001,304
,,,,,6:10pm-7:00pm,Diana Center,2443,WHAT IS AMERICAN STUDIES-DIS Section 001,American Studies BC1011,501
,,,,1:10pm-2:00pm,,Diana Center,5669,WHAT IS AMERICAN STUDIES-DIS Section 002,American Studies BC1011,501
,4:10pm-5:00pm,,,,,Diana Center,9600,WHAT IS AMERICAN STUDIES-DIS Section 003,American Studies BC1011,502
,,,,,5:10pm-6:00pm,Milbank Hall (Barnard),3801,WHAT IS AMERICAN STUDIES-DIS Section 004,American Studies BC1011,237
,,,,6:10pm-7:00pm,,Diana Center,8481,WHAT IS AMERICAN STUDIES-DIS Section 005,American Studies BC1011,502
,,,12:10pm-1:00pm,,,Diana Center,5281,WHAT IS AMERICAN STUDIES-DIS Section 006,American Studies BC1011,203
,,,,,6:10pm-7:00pm,Diana Center,1155,WHAT IS AMERICAN STUDIES-DIS Section 007,American Studies BC1011,502
,,,,,7:10pm-8:00pm,Diana Center,4139,WHAT IS AMERICAN STUDIES-DIS Section 008,American Studies BC1011,502
,,,11:40am-12:55pm,11:40am-12:55pm,,Seeley W. Mudd Building,92798,JOURNALISM & PUBLIC LIFE Section 001,American Studies 83100,233
,11:40am-12:55pm,,,,11:40am-12:55pm,Hamilton Hall,10062,FOUNDATIONS OF AMERICAN L Section 001,American Studies 83267,517
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Hamilton Hall,63296,THE AMERICAN GRAPHIC NOVEL Section 001,American Studies UN3630,516
,,,,,2:10pm-4:00pm,Barnard Hall,373,SENIOR RESEARCH ESSAY SEMINAR Section 001,American Studies BC3704,118
,,,,4:10pm-6:00pm,,Hamilton Hall,24691,TOPICS IN AMERICAN STUDIES Section 001,American Studies UN3931,317
12:10pm-2:00pm,,,,,,Hamilton Hall,75504,TOPICS IN AMERICAN STUDIES Section 002,American Studies UN3931,317
,,,,,4:10pm-6:00pm,Hamilton Hall,77029,TOPICS IN AMERICAN STUDIES Section 003,American Studies UN3931,317
,2:10pm-4:00pm,,,,,Hamilton Hall,17996,TOPICS IN AMERICAN STUDIES Section 004,American Studies UN3931,317
,4:10pm-6:00pm,,,,,Hamilton Hall,27796,TOPICS IN AMERICAN STUDIES Section 005,American Studies UN3931,317
,,,,2:10pm-4:00pm,,Hamilton Hall,27529,TOPICS IN AMERICAN STUDIES Section 006,American Studies UN3931,317
,,,,10:10am-12:00pm,,Hamilton Hall,63449,TOPICS IN AMERICAN STUDIES Section 008,American Studies UN3931,317
4:10pm-6:00pm,,,,,,be announced,73146,SENIOR RESEARCH SEMINAR Section 001,American Studies W3990,To
,,,,,6:10pm-8:00pm,Hamilton Hall,82196,MODERN AMERICAN CULTURAL CRITICISM Section 001,American Studies G6020,317
,,,,,,,71446,DIRCTD READING-ANCIENT STUDIES Section 001,Ancient Studies UN3997,
,,,,,,,2672,DIRCTD READING-ANCIENT STUDIES Section 002,Ancient Studies UN3997,
,,,,,,,21226,DIRCTD READING-ANCIENT STUDIES Section 003,Ancient Studies UN3997,
,,,,,,,71770,DIRCTD READING-ANCIENT STUDIES Section 004,Ancient Studies UN3997,
,,,,,,,61636,DIRCTD READING-ANCIENT STUDIES Section 005,Ancient Studies UN3997,
,,,,,,,20464,DIRCTD READING-ANCIENT STUDIES Section 006,Ancient Studies UN3997,
,,,,,,,70967,DIRCTD READING-ANCIENT STUDIES Section 007,Ancient Studies UN3997,
,,,,,,,70888,DIRCTD READING-ANCIENT STUDIES Section 008,Ancient Studies UN3997,
,,,,,,,18950,DIRCTD READING-ANCIENT STUDIES Section 009,Ancient Studies UN3997,
,,,,,,,24362,DIRCTD READING-ANCIENT STUDIES Section 010,Ancient Studies UN3997,
,,,,,,,73478,DIRCTD READING-ANCIENT STUDIES Section 011,Ancient Studies UN3997,
,,,,,,,1398,DIRCTD READING-ANCIENT STUDIES Section 013,Ancient Studies UN3997,
,,,,,,,19166,DIRCTD RSRCH-ANCIENT STUDIES I Section 001,Ancient Studies UN3998,
,,,,,,,6329,DIRCTD RSRCH-ANCIENT STUDIES I Section 002,Ancient Studies UN3998,
,,,,,,,28638,DIRCTD RSRCH-ANCIENT STUDIES I Section 003,Ancient Studies UN3998,
,,,,,,,63300,DIRCTD RSRCH-ANCIENT STUDIES I Section 004,Ancient Studies UN3998,
,,,,,,,70533,DIRCTD RSRCH-ANCIENT STUDIES I Section 005,Ancient Studies UN3998,
,,,,,,,14576,DIRCTD RSRCH-ANCIENT STUDIES I Section 006,Ancient Studies UN3998,
,,,,,,,66071,DIRCTD RSRCH-ANCIENT STUDIES I Section 007,Ancient Studies UN3998,
,,,,,,,67265,DIRCTD RSRCH-ANCIENT STUDIES I Section 008,Ancient Studies UN3998,
,,,,,,,21319,DIRCTD RSRCH-ANCIENT STUDIES I Section 009,Ancient Studies UN3998,
,,,,,,,62641,DIRCTD RSRCH-ANCIENT STUDIES I Section 010,Ancient Studies UN3998,
,,,,,,,13259,DIRCTD RSRCH-ANCIENT STUDIES I Section 011,Ancient Studies UN3998,
,,,,,,,7939,DIRCTD RSRCH-ANCIENT STUDIES I Section 013,Ancient Studies UN3998,
,,,,,,,78499,ANESTHESIOLOGY CLERKSHIP Section 001,Anesthesiology M7201,
,,,,,,,62848,ANESTHESIOLOGY CLERKSHIP Section 002,Anesthesiology M7201,
,,,,,,,83198,ANESTHESIOLOGY CLERKSHIP Section 003,Anesthesiology M7201,
,,,,,,,16197,ANESTHESIOLOGY CLERKSHIP Section 004,Anesthesiology M7201,
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Northwest Corner Building,75227,THE INTERPRETATION OF CULTURE Section 001,Anthropology UN1002,501
,10:10am-11:25am,,,,10:10am-11:25am,Milbank Hall (Barnard),3929,THE INTERPRETATION OF CULTURE Section 002,Anthropology UN1002,323
,1:10pm-2:25pm,,,,1:10pm-2:25pm,International Affairs Building,25545,THE RISE OF CIVILIZATION Section 001,Anthropology UN1008,417
,,,,1:10pm-2:00pm,,Barnard Hall,5691,INTERPRETATION OF CULTRE-DISC Section 021,Anthropology UN1012,117
,,,,,1:10pm-2:00pm,Barnard Hall,7788,INTERPRETATION OF CULTRE-DISC Section 022,Anthropology UN1012,118
,,,4:10pm-5:00pm,,,Milbank Hall (Barnard),9117,INTERPRETATION OF CULTRE-DISC Section 023,Anthropology UN1012,214
4:10pm-5:00pm,,,,,,Milbank Hall (Barnard),2752,INTERPRETATION OF CULTRE-DISC Section 024,Anthropology UN1012,214
,11:00am-11:50am,,,,,80 Claremont Ave,62536,THE RISE OF CIVILIZATION-DISC Section 001,Anthropology UN1108,C01
,12:00pm-12:50pm,,,,,Hamilton Hall,68148,THE RISE OF CIVILIZATION-DISC Section 002,Anthropology UN1108,707
,,,,,3:00pm-3:50pm,Hamilton Hall,72450,THE RISE OF CIVILIZATION-DISC Section 003,Anthropology UN1108,315
,,,,,4:00pm-4:50pm,Kent Hall,14540,THE RISE OF CIVILIZATION-DISC Section 004,Anthropology UN1108,424
,,,12:10pm-1:00pm,,,EXT Schermerhorn Hall [SCH],23697,THE RISE OF CIVILIZATION-DISC Section 005,Anthropology UN1108,963
,,,1:10pm-2:00pm,,,EXT Schermerhorn Hall [SCH],22213,THE RISE OF CIVILIZATION-DISC Section 006,Anthropology UN1108,467
,4:10pm-5:00pm,,,,,EXT Schermerhorn Hall [SCH],15952,INTERPRETATION OF CULTURE-DISC Section 001,Anthropology UN1112,467
,,,,12:10pm-1:00pm,,Schermerhorn Hall [SCH],83531,INTERPRETATION OF CULTURE-DISC Section 002,Anthropology UN1112,652
,,,,,6:10pm-7:00pm,Northwest Corner Building,66360,INTERPRETATION OF CULTURE-DISC Section 003,Anthropology UN1112,602
,,,12:10pm-1:00pm,,,EXT Schermerhorn Hall [SCH],88248,INTERPRETATION OF CULTURE-DISC Section 004,Anthropology UN1112,467
,11:40am-12:55pm,,,,11:40am-12:55pm,EXT Schermerhorn Hall [SCH],88944,THE ANTHROPOLOGY OF SEXUALITY Section 001,Anthropology UN1200,558
,,,10:10am-11:25am,10:10am-11:25am,,EXT Schermerhorn Hall [SCH],14530,"STATES, TRIBES AND BAZAARS Section 001",Anthropology UN2003,558
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Hamilton Hall,10760,THE ETHNOGRAPHIC IMAGINATION Section 001,Anthropology UN2005,717
,,,,6:10pm-7:00pm,,Kent Hall,63099,THE ETHNOGRAPHIC IMAGINAT-DISC Section 001,Anthropology V2101,423
,,,,,1:10pm-2:00pm,Hamilton Hall,82099,THE ETHNOGRAPHIC IMAGINAT-DISC Section 002,Anthropology V2101,402
,,,,,7:10pm-8:00pm,Kent Hall,10797,THE ETHNOGRAPHIC IMAGINAT-DISC Section 003,Anthropology V2101,424
,,,10:10am-11:00am,,,EXT Schermerhorn Hall [SCH],18700,THE ETHNOGRAPHIC IMAGINAT-DISC Section 004,Anthropology V2101,951
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Milbank Hall (Barnard),3338,ANTHROPOLOGICAL THEORY II Section 001,Anthropology UN3041,207
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Altschul Hall (Barnard),9998,PRECOLUMBIAN HIST OF NAT AMER Section 001,Anthropology UN3300,202
2:10pm-4:00pm,,,,,,Hamilton Hall,98441,"CITY,ENVIRONMENT,VULNERABILITY Section 001",Anthropology 83445,420
,,,,12:00pm-2:00pm,,Northwest Corner Building,81281,ETHNOGRAPHIES OF BLACK LIFE Section 001,Anthropology UN3728,602
,10:10am-12:00pm,,,,,Schermerhorn Hall [SCH],61246,ECONOMIC IMAGINARIES OF THE LAT AMER LEF Section 001,Anthropology UN3832,652
,10:10am-12:00pm,,,,,Milbank Hall (Barnard),1187,FIELD RESEARCH IN NYC Section 001,Anthropology BC3868,214
,4:10pm-6:00pm,,,,,Milbank Hall (Barnard),1500,SENIOR THESIS SEMINAR II Section 001,Anthropology BC3872,214
,,,,2:10pm-4:00pm,,International Affairs Building,22297,NEOLIBERAL URBAN-POL OF EXCLUS Section 001,Anthropology UN3878,501A
,,,,2:10pm-4:00pm,,EXT Schermerhorn Hall [SCH],65537,LISTENING: AN ETHNOG OF SOUND Section 001,Anthropology UN3880,963
,,,,,2:10pm-4:00pm,EXT Schermerhorn Hall [SCH],23546,ECOCRITICISM FOR THE END TIMES Section 001,Anthropology UN3888,467
,,,2:10pm-4:00pm,,,EXT Schermerhorn Hall [SCH],16672,ETHNOGRAPHIC CHINA Section 001,Anthropology UN3912,963
,10:10am-12:00pm,,,,,EXT Schermerhorn Hall [SCH],19084,ANTICOLONIALISM Section 001,Anthropology UN3921,963
,,,,10:10am-12:00pm,,EXT Schermerhorn Hall [SCH],26402,CULTURE & MENTAL HEALTH Section 001,Anthropology UN3966,467
2:10pm-4:00pm,,,,,,EXT Schermerhorn Hall [SCH],29034,WORLD ARCHAEOLOGY Section 001,Anthropology UN3993,467
,,,,,,,24588,SUPERVISED INDIVIDUAL RESEARCH Section 001,Anthropology UN3998,
,,,,,,,26627,SUPERVISED INDIVIDUAL RESEARCH Section 002,Anthropology UN3998,
,,,,,,,76844,SUPERVISED INDIVIDUAL RESEARCH Section 003,Anthropology UN3998,
,,,,,,,25720,SUPERVISED INDIVIDUAL RESEARCH Section 004,Anthropology UN3998,
,,,,,,,72468,SUPERVISED INDIVIDUAL RESEARCH Section 005,Anthropology UN3998,
,,,,,,,22673,SUPERVISED INDIVIDUAL RESEARCH Section 006,Anthropology UN3998,
,,,,,,,73595,SUPERVISED INDIVIDUAL RESEARCH Section 008,Anthropology UN3998,
,,,,,,,15902,SUPERVISED INDIVIDUAL RESEARCH Section 009,Anthropology UN3998,
,,,,,,,69571,SUPERVISED INDIVIDUAL RESEARCH Section 010,Anthropology UN3998,
,,,,,,,18795,SUPERVISED INDIVIDUAL RESEARCH Section 011,Anthropology UN3998,
,,,,,,,60153,SUPERVISED INDIVIDUAL RESEARCH Section 012,Anthropology UN3998,
,,,,,,,29194,SUPERVISED INDIVIDUAL RESEARCH Section 014,Anthropology UN3998,
,,,,,,,27967,SUPERVISED INDIVIDUAL RESEARCH Section 015,Anthropology UN3998,
,,,,,,,62864,SUPERVISED INDIVIDUAL RESEARCH Section 016,Anthropology UN3998,
,,,,,,,11893,SUPERVISED INDIVIDUAL RESEARCH Section 017,Anthropology UN3998,
,,,,,,,25846,SUPERVISED INDIVIDUAL RESEARCH Section 018,Anthropology UN3998,
,,,,,,,22612,SUPERVISED INDIVIDUAL RESEARCH Section 021,Anthropology UN3998,
,,,,,,,62786,SUPERVISED INDIVIDUAL RESEARCH Section 022,Anthropology UN3998,
,,,,,,,71311,SUPERVISED INDIVIDUAL RESEARCH Section 024,Anthropology UN3998,
,,,,,,,76314,SUPERVISED INDIVIDUAL RESEARCH Section 026,Anthropology UN3998,
,,,,,,,13321,SUPERVISED INDIVIDUAL RESEARCH Section 029,Anthropology UN3998,
,,,,,,,14835,SUPERVISED INDIVIDUAL RESEARCH Section 030,Anthropology UN3998,
,,,,,,,64732,SUPERVISED INDIVIDUAL RESEARCH Section 031,Anthropology UN3998,
,,,,,,,23319,SUPERVISED INDIVIDUAL RESEARCH Section 032,Anthropology UN3998,
,,,,,,,23082,SUPERVISED INDIVIDUAL RESEARCH Section 033,Anthropology UN3998,
,,,,,,,64242,SUPERVISED INDIVIDUAL RESEARCH Section 034,Anthropology UN3998,
,,,,,,,60992,SUPERVISED INDIVIDUAL RESEARCH Section 036,Anthropology UN3998,
,,,,,,,75210,SUPERVISED INDIVIDUAL RESEARCH Section 039,Anthropology UN3998,
,,,,,,,16490,SUPERVISED INDIVIDUAL RESEARCH Section 041,Anthropology UN3998,
,,,,,,,24276,SUPERVISED INDIVIDUAL RESEARCH Section 042,Anthropology UN3998,
,,,,,,,74740,SUPERVISED INDIVIDUAL RESEARCH Section 044,Anthropology UN3998,
,,,,,,,73266,SUPERVISED INDIVIDUAL RESEARCH Section 045,Anthropology UN3998,
,,,,,,,72941,SUPERVISED INDIVIDUAL RESEARCH Section 046,Anthropology UN3998,
,,,,,,,15784,SUPERVISED INDIVIDUAL RESEARCH Section 052,Anthropology UN3998,
,4:10pm-6:00pm,,,,,EXT Schermerhorn Hall [SCH],69630,SENIOR THESIS SEM IN ANTHROPOL Section 001,Anthropology UN3999,963
,,,4:10pm-6:00pm,,,EXT Schermerhorn Hall [SCH],64209,CONTROVERSIAL TPCS-HUM EVOL I Section 001,Anthropology GR4002,467
,,,,,12:10pm-2:00pm,EXT Schermerhorn Hall [SCH],18436,HUMAN SKELETAL BIOLOGY II Section 001,Anthropology GU4148,865
,10:10am-12:00pm,,,,,EXT Schermerhorn Hall [SCH],92080,ISLAM AND THEORY Section 001,Anthropology GU4284,467
,,,10:10am-12:00pm,,,EXT Schermerhorn Hall [SCH],86030,NEANDERTHAL ALTERITIES Section 001,Anthropology GU4345,963
,,,1:10pm-5:00pm,,,EXT Schermerhorn Hall [SCH],82298,SCI&ART IN ARCHAEOLOGICAL ILLUSTRATION Section 001,Anthropology GU4481,954
,,,2:10pm-4:00pm,,,International Affairs Building,70949,FEMINIST & QUEER THEORY- Section 001,Anthropology 84500,802
,12:10pm-2:00pm,,,,,EXT Schermerhorn Hall [SCH],22596,"SCALES, ROUTES & REGIONS Section 001",Anthropology GR5000,467
,,,,,12:10pm-2:00pm,EXT Schermerhorn Hall [SCH],11050,IDEOLOGIES/MYTHOLOGIES Section 001,Anthropology GR6016,467
,,,,12:10pm-2:00pm,,EXT Schermerhorn Hall [SCH],3722,LANGUAGE AND ITS LIMITS Section 001,Anthropology GR6067,467
,,,,,2:10pm-4:00pm,EXT Schermerhorn Hall [SCH],65263,THE ETHNOGRAPHY OF SOUND Section 001,Anthropology GR6078,963
,,,,10:10am-12:00pm,,EXT Schermerhorn Hall [SCH],91797,METHOD & THEORY IN ARCHAEOLOGY Section 001,Anthropology GR6103,951
,,,10:10am-12:00pm,,,EXT Schermerhorn Hall [SCH],11007,SOCI THEORY&CONTEMP QUESTIONS Section 001,Anthropology GR6116,467
,,,,10:10am-12:00pm,,EXT Schermerhorn Hall [SCH],82347,RIGHTING WRONGS Section 001,Anthropology GR6155,963
,,,,2:10pm-4:00pm,,Kent Hall,68467,"LAW, HISTORY & ANTHROPOLOGY Section 001",Anthropology GR6170,522D
,,,,12:10pm-2:00pm,,be announced,76114,EXHIBITION PRAC-GLOBAL CONTEXT Section 001,Anthropology GR6192,To
,2:10pm-4:00pm,,,,,EXT Schermerhorn Hall [SCH],62231,PRIN/APPL-SOC & CULTRL ANTHROP Section 001,Anthropology GR6212,467
,,,,,10:10am-12:00pm,EXT Schermerhorn Hall [SCH],2880,ANIMAL ETHOS Section 001,Anthropology GR6301,963
,,,,4:10pm-6:00pm,,EXT Schermerhorn Hall [SCH],4553,POETICS & POLIT-INFRASTRUCTURE Section 001,Anthropology GR6345,467
,,,,4:10pm-6:00pm,,be announced,26598,EXHIBITION CULTURES Section 001,Anthropology GR6365,To
,,,4:10pm-6:00pm,,,EXT Schermerhorn Hall [SCH],11177,QUESTIONS-ANTHRO THRY II:TEXTS Section 001,Anthropology GR6602,963
,,,2:10pm-4:00pm,,,EXT Schermerhorn Hall [SCH],82547,ISLE OF INTELLECTUALS Section 001,Anthropology GR6643,467
,,,,2:10pm-4:00pm,,EXT Schermerhorn Hall [SCH],15946,DARK ECOLOGIES: ECOCRITICAL THOUGHT Section 001,Anthropology GR6649,467
,,,,4:10pm-6:00pm,,EXT Schermerhorn Hall [SCH],23166,SEMINAR ON LATE IMPERIAL CHINA Section 001,Anthropology GR8494,963
,,,,,,,16379,RSCH IN SOCIAL/CULTURAL ANTHRO Section 001,Anthropology GR9101,
,,,,,,,70489,RSCH IN SOCIAL/CULTURAL ANTHRO Section 002,Anthropology GR9101,
,,,,,,,27661,RSCH IN SOCIAL/CULTURAL ANTHRO Section 003,Anthropology GR9101,
,,,,,,,16732,RSCH IN SOCIAL/CULTURAL ANTHRO Section 004,Anthropology GR9101,
,,,,,,,71689,RSCH IN SOCIAL/CULTURAL ANTHRO Section 005,Anthropology GR9101,
,,,,,,,23271,RSCH IN SOCIAL/CULTURAL ANTHRO Section 006,Anthropology GR9101,
,,,,,,,19851,RSCH IN SOCIAL/CULTURAL ANTHRO Section 008,Anthropology GR9101,
,,,,,,,24017,RSCH IN SOCIAL/CULTURAL ANTHRO Section 009,Anthropology GR9101,
,,,,,,,69855,RSCH IN SOCIAL/CULTURAL ANTHRO Section 010,Anthropology GR9101,
,,,,,,,71433,RSCH IN SOCIAL/CULTURAL ANTHRO Section 011,Anthropology GR9101,
,,,,,,,11350,RSCH IN SOCIAL/CULTURAL ANTHRO Section 012,Anthropology GR9101,
,,,,,,,70642,RSCH IN SOCIAL/CULTURAL ANTHRO Section 015,Anthropology GR9101,
